,code,name,change,open,preclose,close,high,low,volume,amount
0,000001,上证指数,2.5,2733.8742,2729.2438,2797.4848,2797.4851,2722.0319,158016642,1489.7636
1,000002,Ａ股指数,2.5,2863.0346,2858.1797,2929.735,2929.7355,2850.5931,157778010,1488.204
2,000003,Ｂ股指数,1.43,284.8239,284.529,288.6047,288.6047,284.8167,238632,1.5596
3,000008,综合指数,3.82,2557.6167,2550.0311,2647.4819,2647.4831,2547.6981,43315300,401.7399
4,000009,上证380,1.67,4327.0692,4322.2271,4394.4966,4398.0178,4308.2457,35627770,318.4602
5,000010,上证180,3.18,7404.355,7379.8699,7614.865,7614.865,7376.889,73620667,776.8279
6,000011,基金指数,1.38,5736.3362,5731.7313,5811.0985,5812.7367,5733.1309,47476080,399.3077
7,000012,国债指数,0.01,166.7458,166.7287,166.7478,166.7557,166.7415,116054,1.1244
8,000016,上证50,3.46,2495.7377,2487.4223,2573.6031,2573.6031,2485.4117,41753278,467.6001
9,000017,新综指,2.51,2308.1007,2304.1786,2361.9812,2361.9816,2298.0503,157663194,1481.9538
10,000300,沪深300,3.03,3320.6958,3310.1258,3410.4856,3410.4856,3307.767,108416005,1235.7312
11,000905,中证500,1.52,4743.8051,4733.4806,4805.2151,4813.2902,4721.6883,65895196,525.0771
12,399001,深证成指,2.13,8258.016,8233.889000000001,8409.179,8419.471,8216.677,19759412637,1725.1521
13,399002,深成指R,2.13,9977.96,9948.808,10160.606,10173.042,9928.011999999999,8793854185,914.6135
14,399003,成份Ｂ指,2.52,5311.036999999999,5295.807,5429.126,5429.126,5302.1759999999995,9526548,0.6263
15,399004,深证100R,2.73,4329.389,4314.411,4431.998,4437.545999999999,4311.648,3251401440,457.3816
16,399005,中小板指,2.36,5634.438,5616.922,5749.205,5760.079000000001,5599.35,1784190208,248.7628
17,399006,创业板指,1.69,1393.675,1387.619,1411.119,1413.565,1382.405,1352616263,162.1858
18,399008,中小300,1.92,1087.177,1084.484,1105.348,1106.875,1080.5430000000001,4571483227,433.5786
19,399100,新 指 数,1.84,6470.585999999999,6455.94,6574.785,6579.464,6443.116,19416921030,1692.3667
20,399101,中小板综,1.74,8387.841,8372.311,8517.889000000001,8524.574,8352.948,8377175405,727.0822
21,399106,深证综指,1.77,1423.131,1420.019,1445.1129999999998,1445.7720000000002,1416.733,19759412637,1725.1521
22,399107,深证Ａ指,1.77,1487.87,1484.614,1510.859,1511.5639999999999,1481.1470000000002,19739994799,1724.2174
23,399108,深证Ｂ指,1.56,963.4169999999999,961.943,976.929,976.929,962.794,19417838,0.9347
24,399333,中小板R,2.36,6260.9490000000005,6241.485,6388.476,6400.559,6221.9580000000005,1784190208,248.7628
25,399606,创业板R,1.69,1459.925,1453.582,1478.1989999999998,1480.761,1448.119,1352616263,162.1858
