,code,name
0,000048,*ST康达
1,000403,ST生化
2,000409,*ST地矿
3,000422,*ST宜化
4,000585,*ST东电
5,000655,*ST金岭
6,000693,*ST华泽
7,000707,*ST双环
8,000720,*ST新能
9,000737,*ST南风
10,000755,*ST三维
11,000803,*ST金宇
12,000816,*ST慧业
13,000893,*ST东凌
14,000912,*ST天化
15,000922,*ST佳电
16,000939,*ST凯迪
17,000953,ST河化
18,000972,*ST中基
19,000982,*ST 中绒
20,000995,*ST皇台
21,002018,*ST华信
22,002070,*ST众和
23,002122,*ST天马
24,002188,*ST巴士
25,002194,*ST凡谷
26,002207,ST准油
27,002260,*ST德奥
28,002263,*ST东南
29,002306,*ST云网
30,002323,*ST百特
31,002427,*ST尤夫
32,002473,*ST圣莱
33,002496,ST辉丰
34,002552,*ST宝鼎
35,002570,*ST因美
36,002604,*ST龙力
37,002680,ST长生
38,600074,*ST保千
39,600091,ST明科
40,600145,*ST新亿
41,600149,ST坊展
42,600150,*ST船舶
43,600193,*ST创兴
44,600198,*ST大唐
45,600202,*ST哈空
46,600209,*ST罗顿
47,600228,ST昌九
48,600234,ST山水
49,600238,*ST椰岛
50,600247,*ST成城
51,600265,ST景谷
52,600275,ST昌鱼
53,600289,*ST信通
54,600301,ST南化
55,600321,*ST正源
56,600397,*ST安煤
57,600399,*ST抚钢
58,600401,*ST海润
59,600408,*ST安泰
60,600421,ST仰帆
61,600423,*ST柳化
62,600539,*ST狮头
63,600556,ST慧球
64,600608,ST沪科
65,600610,*ST毅达
66,600634,*ST富控
67,600654,ST中安
68,600680,*ST上普
69,600696,ST岩石
70,600701,*ST工新
71,600725,ST云维
72,600732,ST新梅
73,600747,ST大控
74,600749,*ST藏旅
75,600767,ST运盛
76,600778,*ST友好
77,600807,*ST天业
78,600817,ST宏盛
79,600870,*ST厦华
80,600871,*ST油服
81,600877,ST嘉陵
82,600896,*ST海投
83,601558,ST锐电
84,601798,*ST蓝科
85,603188,ST亚邦
